Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,City,Product_ID,Sales,Quantity,Discount,Profit,Return
CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,Henderson,FUR-BO-10001798,261.96,2,0,41.9136,0
CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,Henderson,FUR-CH-10000454,731.94,3,0,219.582,0
CA-2016-138688,6/12/2016,6/16/2016,Second Class,DV-13045,Los Angeles,OFF-LA-10000240,14.62,2,0,6.8714,0
US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,Fort Lauderdale,FUR-TA-10000577,957.5775,5,0.45,-383.031,0
US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,Fort Lauderdale,OFF-ST-10000760,22.368,2,0.2,2.5164,0
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Los Angeles,FUR-FU-10001487,48.86,7,0,14.1694,0
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Los Angeles,OFF-AR-10002833,7.28,4,0,1.9656,0
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Los Angeles,TEC-PH-10002275,907.152,6,0.2,90.7152,0
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Los Angeles,OFF-BI-10003910,18.504,3,0.2,5.7825,0
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Los Angeles,OFF-AP-10002892,114.9,5,0,34.47,0
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Los Angeles,FUR-TA-10001539,1706.184,9,0.2,85.3092,0
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Los Angeles,TEC-PH-10002033,911.424,4,0.2,68.3568,0
CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480,Concord,OFF-PA-10002365,15.552,3,0.2,5.4432,0
CA-2016-161389,12/5/2016,12/10/2016,Standard Class,IM-15070,Seattle,OFF-BI-10003656,407.976,3,0.2,132.5922,0
US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Fort Worth,OFF-AP-10002311,68.81,5,0.8,-123.858,0
US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Fort Worth,OFF-BI-10000756,2.544,3,0.8,-3.816,0
CA-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075,Madison,OFF-ST-10004186,665.88,6,0,13.3176,0
CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,West Jordan,OFF-ST-10000107,55.5,2,0,9.99,0
CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,San Francisco,OFF-AR-10003056,8.56,2,0,2.4824,1
CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,San Francisco,TEC-PH-10001949,213.48,3,0.2,16.011,1
CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,San Francisco,OFF-BI-10002215,22.72,4,0.2,7.384,1
CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,Fremont,OFF-AR-10000246,19.46,7,0,5.0596,0
CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,Fremont,OFF-AP-10001492,60.34,7,0,15.6884,0
US-2017-156909,7/16/2017,7/18/2017,Second Class,SF-20065,Philadelphia,FUR-CH-10002774,71.372,2,0.3,-1.0196,0
CA-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870,Orem,FUR-TA-10000577,1044.63,3,0,240.2649,0
CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Los Angeles,OFF-BI-10001634,11.648,2,0.2,4.2224,0
CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Los Angeles,TEC-AC-10003027,90.57,3,0,11.7741,0
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Philadelphia,FUR-BO-10004834,3083.43,7,0.5,-1665.0522,0
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Philadelphia,OFF-BI-10000474,9.618,2,0.7,-7.0532,0
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Philadelphia,FUR-FU-10004848,124.2,3,0.2,15.525,0
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Philadelphia,OFF-EN-10001509,3.264,2,0.2,1.1016,0
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Philadelphia,OFF-AR-10004042,86.304,6,0.2,9.7092,0
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Philadelphia,OFF-BI-10001525,6.858,6,0.7,-5.715,0
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Philadelphia,OFF-AR-10001683,15.76,2,0.2,3.546,0
CA-2017-107727,10/19/2017,10/23/2017,Second Class,MA-17560,Houston,OFF-PA-10000249,29.472,3,0.2,9.9468,0
CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,Richardson,TEC-PH-10004977,1097.544,7,0.2,123.4737,0
CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,Richardson,FUR-FU-10003664,190.92,5,0.6,-147.963,0
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Houston,OFF-EN-10002986,113.328,9,0.2,35.415,0
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Houston,FUR-BO-10002545,532.3992,3,0.32,-46.9764,0
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Houston,FUR-CH-10004218,212.058,3,0.3,-15.147,0
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Houston,TEC-PH-10000486,371.168,4,0.2,41.7564,0
CA-2017-120999,9/10/2017,9/15/2017,Standard Class,LC-16930,Naperville,TEC-PH-10004093,147.168,4,0.2,16.5564,0
CA-2016-101343,7/17/2016,7/22/2016,Standard Class,RA-19885,Los Angeles,OFF-ST-10003479,77.88,2,0,3.894,0
CA-2017-139619,9/19/2017,9/23/2017,Standard Class,ES-14080,Melbourne,OFF-ST-10003282,95.616,2,0.2,9.5616,0
CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,Eagan,TEC-AC-10000171,45.98,2,0,19.7714,0
CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,Eagan,OFF-BI-10003291,17.46,2,0,8.2062,0
CA-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865,Westland,OFF-ST-10001713,211.96,4,0,8.4784,0
CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Dover,TEC-AC-10002167,45,3,0,4.95,0
CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Dover,TEC-PH-10003988,21.8,2,0,6.104,0
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,New Albany,OFF-BI-10004410,38.22,6,0,17.9634,0
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,New Albany,OFF-LA-10002762,75.18,6,0,35.3346,0
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,New Albany,FUR-FU-10001706,6.16,2,0,2.9568,0
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,New Albany,FUR-CH-10003061,89.99,1,0,17.0981,0
CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,New York City,OFF-FA-10000304,15.26,7,0,6.2566,0
CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,New York City,TEC-PH-10002447,1029.95,5,0,298.6855,0
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Troy,OFF-ST-10000604,208.56,6,0,52.14,1
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Troy,OFF-PA-10001569,32.4,5,0,15.552,1
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Troy,FUR-CH-10003968,319.41,5,0.1,7.098,1
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Troy,OFF-PA-10000587,14.56,2,0,6.9888,1
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Troy,TEC-AC-10002167,30,2,0,3.3,1
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Troy,OFF-BI-10001460,48.48,4,0.2,16.362,1
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Troy,OFF-AR-10001868,1.68,1,0,0.84,1
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Los Angeles,TEC-AC-10004633,13.98,2,0,6.1512,0
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Los Angeles,OFF-BI-10001078,25.824,6,0.2,9.3612,0
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Los Angeles,OFF-PA-10003892,146.73,3,0,68.9631,0
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Los Angeles,FUR-FU-10000397,79.76,4,0,22.3328,0
US-2015-164175,4/30/2015,5/5/2015,Standard Class,PS-18970,Chicago,FUR-CH-10001146,213.115,5,0.3,-15.2225,0
CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,Gilbert,OFF-AR-10002671,1113.024,8,0.2,111.3024,0
CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,Gilbert,TEC-PH-10002726,167.968,4,0.2,62.988,0
CA-2016-119823,6/4/2016,6/6/2016,First Class,KD-16270,Springfield,OFF-PA-10000482,75.88,2,0,35.6636,0
CA-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980,New York City,OFF-BI-10004654,4.616,1,0.2,1.731,0
CA-2017-114440,9/14/2017,9/17/2017,Second Class,TB-21520,Jackson,OFF-PA-10004675,19.05,3,0,8.763,0
US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Memphis,FUR-CH-10000513,831.936,8,0.2,-114.3912,0
US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Memphis,FUR-FU-10003708,97.04,2,0.2,1.213,0
US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Memphis,OFF-ST-10004123,72.784,1,0.2,-18.196,0
US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Houston,OFF-BI-10004182,1.248,3,0.8,-1.9344,0
